datetime,J1,J10,J103,J104,J11,J118,J12,J121,J126,J13,J14,J147,J151,J156,J17,J18,J2,J23,J25,J26,J27,J3,J30,J32,J4,J43,J44,J46,J5,J50,J52,J57,J6,J63,J7,J70,J71,J8,J89,J9,J96,outfall
2025-06-01 13:51:40,0.0,0.0,0.0,0.0,9.316623151887597,0.0,13.034488047594095,5.534011052051483,24.15981220415233,0.0,0.0,22.31892536577834,0.0,11.92730873281107,6.7015704589102825,0.0,9.302070128598643,22.50502973697985,0.0,6.450245729955213,12.27225093089055,8.598499659626668,0.0,0.0,18.662581790604236,16.507927393256978,0.0,0.0,7.123866634249225,0.0,0.0,0.0,13.873024669810547,23.63809780133124,19.428236474182995,6.626379767734193,7.945739123009844,7.1484469579149845,14.06562716627559,11.810199404337254,21.747296655878017,0.0
2025-06-01 13:52:05,0.0,0.0,0.0,0.0,8.515786812754413,0.0,10.971355454006698,4.9053585235944865,22.95580375949794,0.0,0.0,20.864552655828447,0.0,11.040599176689284,6.280792331396583,0.0,8.560415853812174,21.41494833608158,0.043619013744472745,5.926469704146712,11.168746937559263,7.950753726905532,0.0,0.0,15.601961242528887,14.77662567754578,0.0,0.0,6.546749678752349,0.0,0.0,0.0,11.933709215634735,22.138441495213556,18.726293706231445,7.35116332104144,6.295164894318987,6.68315651837429,14.142719917714203,10.039116385738453,18.991605000559503,0.0
2025-06-01 13:52:30,0.0,0.0,0.0,0.0,7.71711217523989,0.0,9.390203206316073,4.284004644375045,21.750119826094306,0.0,0.0,19.459836380181514,0.0,10.140882081699601,5.301863856738237,0.0,7.836762366599487,20.27026839206519,0.0,5.107566711676327,9.905398335298742,7.209279734083793,0.0,0.0,12.511780092955632,13.106483191016196,0.0,0.0,5.872660640516187,0.0,0.0,0.24350487724902692,10.217380115265769,20.610123298352846,17.986874309683117,7.561810826250166,5.268867586718443,6.033491668926217,13.728756713460825,9.062491256972862,14.028670053719907,0.0
2025-06-01 13:52:55,0.0,0.0,0.0,0.0,6.931429167000715,0.0,8.330355753621006,3.665599074684451,20.542475916301555,0.0,0.0,18.09285012957116,0.0,9.242325924369652,4.634317098079919,0.0,7.12212581258882,19.083141287019316,0.0,3.427243988832288,8.710528780842651,6.4101111553386545,0.0,0.0,10.017916599735145,11.491365231715463,0.0,0.0,5.196647735637725,0.0,0.0,2.5297177307821954,8.671915331877244,19.142048798965334,17.02727959241747,7.315183970156795,4.760154203471757,5.458308148387005,12.774458088904794,8.243095340265427,7.959850199746143,0.0
2025-06-01 13:53:20,0.0,0.0,0.0,0.0,6.136639301010291,0.0,7.693910896422494,3.0510447003780428,19.333408472451993,0.0,0.0,16.753861015473376,0.0,8.355996577426595,3.166964532520069,0.0,6.406112683531319,17.865117328088672,0.0,1.9115579203617017,7.603482022508615,5.5918753224596,0.0,0.0,8.152931567869928,9.926446260065859,0.0,0.0,4.542134164418712,0.0,0.0,1.0560957715131565,7.290046280251772,17.763570193810665,15.81213041963565,6.805197971527377,4.527346382727956,4.921846433901919,11.363274642772922,5.846612783996534,4.003633384643763,0.0
2025-06-01 13:53:45,0.0,0.0,0.0,0.0,5.3605063258391965,0.0,7.264558429595127,2.441598095811969,18.1237968915666,0.0,0.0,15.435893168963958,0.0,7.487034700369804,2.041471932109289,0.0,5.679415012609752,16.6254897405488,0.0,0.648039101617087,5.908898671168572,4.784830578721994,0.0,0.0,6.629922617167722,8.408055637544749,0.0,0.0,3.8563697328709168,0.0,0.0,0.0,5.996471903903512,16.45886171267557,14.409682135532421,6.173145529588965,4.395083044645617,4.363637190344889,9.699001275583214,4.950909236727966,1.8332576679003978,0.0
2025-06-01 13:54:10,0.0,0.0,0.0,0.0,4.590533307875376,0.0,6.788129819344249,1.8361240352528512,16.914406405405316,0.0,0.0,14.134075713835045,0.0,6.636205097014681,2.0515496575326324,0.0,4.936232865679813,15.371076904117217,0.0,0.0,4.73893549289096,4.006653154458945,0.0,0.0,5.179496026687957,7.041263859271567,0.0,0.0,3.114246724975146,0.0,0.0,0.0,4.660803069380563,15.193117685885227,12.920839299764339,5.496404618777888,4.266169394059943,3.7449274438295106,8.027781556427726,4.365468577023421,0.009781450991795282,0.0
2025-06-01 13:54:35,0.0,0.0,0.0,0.0,3.8097644416975527,0.0,6.079188907366188,1.2335734401990521,15.705667979054851,0.0,0.0,12.844993145463377,0.0,5.8021302092120095,1.2230739769352112,0.0,4.175464209009078,14.106478269215586,0.0,0.0,3.9879733833695354,3.2561826529108657,0.0,0.0,3.0476707541474752,5.771546012054387,0.0,0.0,2.1432905064489205,0.0,0.0,0.0,3.4346166673822154,13.933695454576082,11.39921000841423,4.814757263827232,4.09179019217936,3.1593998929765803,6.534690360975219,3.4520928659057972,0.0,0.0
2025-06-01 13:55:00,0.0,0.0,0.0,0.0,3.0710941917313903,0.0,5.086611082944728,0.6334333491263351,14.497674522990565,0.0,0.0,11.566197223060954,0.0,4.982690562790594,0.0,0.0,3.399976767528642,12.834581916507886,0.0,0.0,2.990931116066349,2.5355743936906947,0.0,0.0,1.2159742028215987,4.475868801649995,0.0,0.0,1.1865633400716433,0.0,0.0,0.2018653429218915,2.3890642626556655,12.658390364405932,9.884479467757046,4.148908937606393,3.8494300008205755,2.4397206201783774,5.288039041603042,1.4927587134152418,0.0,0.0
2025-06-01 13:55:25,0.0,0.0,0.0,0.0,2.290449484079545,0.0,3.8695457141147926,0.03314767240635774,13.290280663961312,0.0,0.0,10.295867487311625,0.0,4.175670832693868,0.0,0.0,2.614553199648981,11.557119329503621,0.0,0.0,1.4810794397671998,1.8460106779048147,0.0,0.0,0.19995860265953525,3.1194633491340937,0.0,0.0,0.4957964322375119,0.0,0.0,0.6937203157606646,1.3443750945534703,11.357364954332297,8.419706118242175,3.5097531346432334,3.531307860308516,1.8608015301906562,4.255565842719079,0.31047705502533063,0.0,0.0
